Android activity manager . ||| অ্যান্ড্রয়েড অ্যাক্টিভিটি ম্যানেজার।
Get a value of a specific setting ||| একটি নির্দিষ্ট সেটিং এর মান পান
Set a specific value of a setting ||| একটি সেটিং এর একটি নির্দিষ্ট মান সেট করুন
Delete a specific setting ||| একটি নির্দিষ্ট সেটিং মুছুন
More information : < https : //adbinstaller.com/commands/adb-shell-wm-5b672b17e7958178a2955538 > . ||| আরও তথ্য পাবেন : < https : //adbinstaller.com/commands/adb-shell-wm-5b672b17e7958178a2955538 > .
More information : < https : //git-scm.com/docs/git-cherry-pick > . ||| বিদ্যমান কমিট দ্বারা প্রবর্তিত পরিবর্তনগুলি বর্তমান ব্র্যাঞ্চে প্রয়োগ করুন। অন্য ব্র্যাঞ্চে পরিবর্তনগুলি প্রয়োগ করতে , প্রথমে পছন্দসই ব্র্যাঞ্চে স্যুইচ করতে ` git checkout ` ব্যবহার করুন।
Apply a commit to the current branch ||| আরও তথ্য পাবেন : < https : //git-scm.com/docs/git-cherry-pick > .
Apply a range of commits to the current branch ( see also ` git rebase -- onto ` ) ||| বর্তমান ব্র্যাঞ্চে কমিট করুন
Apply multiple ( non-sequential ) commits to the current branch ||| বর্তমান ব্র্যাঞ্চে বিভিন্ন ধরনের কমিট করুন ( এছাড়াও দেখুন 'git rebase -- onto ` )
More information : < https : //manpages.debian.org/latest/apt/apt.8.html > . ||| আরও তথ্য পাবেন : < https : //manpages.debian.org/latest/apt/apt.8.html > .
Update the list of available packages and versions ( it 's recommended to run this before other ` apt ` commands ) ||| উপলভ্য প্যাকেজ এবং সংস্করণের তালিকা আপডেট করুন ( অন্যান্য ` apt ` কমান্ডের আগে এটি চালানোর পরামর্শ দেওয়া হচ্ছে )
Search for a given package ||| প্রদত্ত প্যাকেজ অনুসন্ধান করুন
Show information for a package ||| একটি প্যাকেজের জন্য তথ্য দেখান
Install a package , or update it to the latest available version ||| একটি প্যাকেজ ইনস্টল করুন , অথবা সর্বশেষ উপলব্ধ সংস্করণে আপডেট করুন
Remove a package ( using ` purge ` instead also removes its configuration files ) ||| একটি প্যাকেজ সরান ( পরিবর্তে ` purge ` ব্যবহার করে এর কনফিগারেশন ফাইলও সরিয়ে দেয় )
Upgrade all installed packages to their newest available versions ||| সমস্ত ইনস্টল করা প্যাকেজগুলি তাদের নতুন উপলব্ধ সংস্করণগুলিতে আপগ্রেড করুন
List all packages ||| সমস্ত প্যাকেজের তালিকা করুন
List installed packages ||| ইনস্টল করা প্যাকেজ সমূহ তালিকা করুন
More information : < https : //manned.org/snap > . ||| আরও তথ্য পাবেন : < https : //manned.org/snap > .
Search for a package ||| একটি প্যাকেজ অনুসন্ধান করুন
Install a package ||| একটি প্যাকেজ ইনস্টল করুন
Update a package ||| একটি প্যাকেজ আপডেট করুন
Update a package to another channel ( track , risk , or branch ) ||| অন্য চ্যানেলে একটি প্যাকেজ আপডেট করুন ( ট্র্যাক , রিস্ক বা ব্র্যাঞ্চ )
Update all packages ||| সমস্ত প্যাকেজ আপডেট করুন
Display basic information about installed snap software ||| ইনস্টল করা স্ন্যাপ সফটওয়্যার সম্পর্কে প্রাথমিক তথ্য প্রদর্শন করুন
Uninstall a package ||| একটি প্যাকেজ আনইনস্টল করুন
Check for recent snap changes in the system ||| সিস্টেমে সাম্প্রতিক স্ন্যাপ পরিবর্তনের জন্য পরীক্ষা করুন
Copy files and directories . ||| ফাইল এবং ডিরেক্টরি কপি করুন।
More information : < https : //ss64.com/osx/ditto.html > . ||| আরও তথ্য পাবেন : < https : //ss64.com/osx/ditto.html > .
Overwrite contents of destination directory with contents of source directory ||| সোর্স ডিরেক্টরির বিষয়বস্তু দিয়ে গন্তব্য ডিরেক্টরির বিষয়বস্তু ওভাররাইট করুন
Print a line to the Terminal window for every file that 's being copied ||| কপি করা প্রতিটি ফাইলের জন্য টার্মিনাল উইন্ডোতে একটি লাইন প্রিন্ট করুন
Copy a given file or directory , while retaining the original file permissions ||| মূল ফাইল এর পারমিশন বজায় রেখে একটি প্রদত্ত ফাইল বা ডিরেক্টরি কপি করুন
Network packet sniffer . ||| নেটওয়ার্ক প্যাকেট স্নিফার।
SunOS equivalent of tcpdump. < https : //www.unix.com/man-page/sunos/1m/snoop > . ||| SunOS এর জন্য tcpdump এর সমতুল্য। < https : //www.unix.com/man-page/sunos/1m/snoop > .
Capture packets on a specific network interface ||| একটি নির্দিষ্ট নেটওয়ার্ক ইন্টারফেসে প্যাকেটগুলি ক্যাপচার করুন
Save captured packets in a file instead of displaying them ||| ক্যাপচার করা প্যাকেটগুলিকে প্রদর্শন করার পরিবর্তে একটি ফাইলে সংরক্ষণ করুন
Display verbose protocol layer summary of packets from a file ||| একটি ফাইল থেকে প্যাকেটের ভার্বোজ প্রোটোকল লেয়ারের সারাংশ প্রদর্শন করুন
Capture network packets that come from a hostname and go to a given port ||| একটি হোস্টনাম থেকে আসা নেটওয়ার্ক প্যাকেটগুলি ক্যাপচার করুন এবং একটি প্রদত্ত পোর্টে যান
Capture and show a hex-dump of network packets exchanged between two IP addresses ||| দুটি আইপি ঠিকানার মধ্যে বিনিময় করা নেটওয়ার্ক প্যাকেটের একটি হেক্স-ডাম্প ক্যাপচার করুন এবং প্রদর্শন করুন
Display the current working directory or move to a different directory . ||| বর্তমান ওয়ার্কিং ডিরেক্টরির নাম প্রদর্শন বা পরিবর্তন করে।
More information : < https : //learn.microsoft.com/windows-server/administration/windows-commands/cd > . ||| আরও তথ্য পাবেন : < https : //learn.microsoft.com/windows-server/administration/windows-commands/cd > .
Display the path of the current directory ||| বর্তমান ডিরেক্টরি নাম প্রদর্শন করুন
Go up to the parent of the current directory ||| বর্তমান ডিরেক্টরিটির প্যারেন্টে পৌঁছান
Go to a specific directory in the same drive ||| একই ড্রাইভে একটি ডিরেক্টরিতে যান
`` `` If you explain the the definition of L.Robinson then you will found that life of human being are depend on main three character such as unlimited scarcity , limited resources and on alternative usable resources . ||| এল.রবিন্সের সংজ্ঞাটি বিশ্লেষণ করলে দেখা যায় যে এটি মানব জীবনের তিনটি মৌলিক বৈশিষ্টের উপর প্রতিষ্ঠিত যথা অসীম অভাব সীমিত সম্পদ ও বিকল্প ব্যাবহারযোগ্য সম্পদ।
.In the acceptability related explanations of econometrics models of economics , mathematical and statistical methods are applied . ||| ইকোনোমেট্রিক্স অর্থনৈতিক মডেলসমূহের উপাত্ত সম্পর্কিত বিশ্লেষনে গাণিতিক ও পরিসংখ্যানিক পদ্ধতিতে প্রয়োগ করা হয়।
Welfare Definition ||| কল্যান সংজ্ঞা
.Definition of welfare ||| কল্যান সংজ্ঞা
Many economists cited examples of transformation from 'assumed condition ' to observation based concept which are as below : ||| প্রান্তিক অর্থনৈতিক তত্ত্বে আয় ও সম্পদকে প্রতিবন্ধক বিষয় ধরে ভোক্তা অধিক পছন্দ অবস্থানে পৌঁছতে চেষ্টা করে তা নিয়ে বিশ্লেষন করা হয়।
Many economist have given the examples of change from importance of observation from permissible condition , they are as down below : ||| ভোক্তা বা অন্য প্রতিনিধির ক্ষেত্রে যদি সম্পদের পূর্ন ব্যবহার করা হয় উৎপাদন সম্ভাবনা ও দূস্প্রাপ্যতার ব্যবধান কমে আসবে যেমন আয়ের ক্ষেত্রে বেকার সময় সরকারী পন্যের জন্য বেসরকারী পন্য ভবিষ্যৎ ভোগের জন্য বর্তমান ভোগ।
.Many economists have given the example of the idea of changing from `` '' hypothetical terms '' '' to observational terms , which are as follows : ||| ভোক্তা বা অন্য প্রতিনিধির ক্ষেত্রে যদি সম্পদের পূর্ন ব্যবহার করা হয় উৎপাদন সম্ভাবনা ও দূস্প্রাপ্যতার ব্যবধান কমে আসবে যেমন আয়ের ক্ষেত্রে বেকার সময় সরকারী পন্যের জন্য বেসরকারী পন্য ভবিষ্যৎ ভোগের জন্য বর্তমান ভোগ।
Some economists such as John Stuart Mill or Leon Walras mention that the wealth production can not be bind with its distribution . ||| জন স্টুয়ার্ট মিল বা লিওন ওয়ালার্স এর মত কিছু অর্থনীতিবিদ উল্লেখ করেন যে সম্পদ উৎপাদনকে ইহার বন্টনের সহিৎ আবদ্ধ করা যায়না।
Some economists like John Stuart Mill or Leon Walras mentions that the production of wealth can not be limited to its distribution ||| জন স্টুয়ার্ট মিল বা লিওন ওয়ালার্স এর মত কিছু অর্থনীতিবিদ উল্লেখ করেন যে সম্পদ উৎপাদনকে ইহার বন্টনের সহিৎ আবদ্ধ করা যায়না।
Some economists like John Stuart Mill or Leon Wallace stated that production of wealth ca n't be tied with its distribution . ||| জন স্টুয়ার্ট মিল বা লিওন ওয়ালার্স এর মত কিছু অর্থনীতিবিদ উল্লেখ করেন যে সম্পদ উৎপাদনকে ইহার বন্টনের সহিৎ আবদ্ধ করা যায়না।
Welcome to the Bengali edition of Wikipedia . ||| উইকিপিডিয়ার বাংলা সংস্করণে স্বাগতম।
Welcome to the Bengali Version of Wikipedia . ||| উইকিপিডিয়ার বাংলা সংস্করণে স্বাগতম।
Fire-fox is a free source web browser . ||| ফায়ারফক্স একটি মুক্ত সোর্স ওয়েব ব্রাউজার।
Firefox is an open source web browser . ||| ফায়ারফক্স একটি মুক্ত সোর্স ওয়েব ব্রাউজার।
Firefox is an open source browser ||| ফায়ারফক্স একটি মুক্ত সোর্স ওয়েব ব্রাউজার।
Firefox is an open source web browser . ||| ফায়ারফক্স একটি মুক্ত সোর্স ওয়েব ব্রাউজার।
In most of the other browsers only a few of these facilities were incorporated but Firefox was the first browser which included all of these facilities . ||| অন্যান্য অনেক ব্রাউজারে এসব সুবিধার কিছু কিছু গ্রহণ করা হয়েছিল কিন্তু ফায়ারফক্সই প্রথম ব্রাউজার যাতে সবগুলো সুবিধা যুক্ত হয়।
A few of these facilities were accepted in several other browsers , but Firefox is the first browser where all the facilities have been incorporated . ||| অন্যান্য অনেক ব্রাউজারে এসব সুবিধার কিছু কিছু গ্রহণ করা হয়েছিল কিন্তু ফায়ারফক্সই প্রথম ব্রাউজার যাতে সবগুলো সুবিধা যুক্ত হয়।
These conveniences did exist in others browsers to some extent but Firefox was the first browser , which contained them all ||| অন্যান্য অনেক ব্রাউজারে এসব সুবিধার কিছু কিছু গ্রহণ করা হয়েছিল কিন্তু ফায়ারফক্সই প্রথম ব্রাউজার যাতে সবগুলো সুবিধা যুক্ত হয়।
In other browsers too these features are adopted but Firefox is the first browser combined with all these features . ||| অন্যান্য অনেক ব্রাউজারে এসব সুবিধার কিছু কিছু গ্রহণ করা হয়েছিল কিন্তু ফায়ারফক্সই প্রথম ব্রাউজার যাতে সবগুলো সুবিধা যুক্ত হয়।
Among these there is Dom Inspector or Extension like Firebug . ||| এগুলোর মধ্যে রয়েছে ডম ইন্সপেক্টর বা এক্সটেনশন যেমন : ফায়ারবাগ।
There are Dom inspector or extension example : firebug ||| এগুলোর মধ্যে রয়েছে ডম ইন্সপেক্টর বা এক্সটেনশন যেমন : ফায়ারবাগ।
Among this are the dom inspector or extension like : Fire-Bag . ||| এগুলোর মধ্যে রয়েছে ডম ইন্সপেক্টর বা এক্সটেনশন যেমন : ফায়ারবাগ।
One of these is DOM Inspector or extension , example : firebug ||| এগুলোর মধ্যে রয়েছে ডম ইন্সপেক্টর বা এক্সটেনশন যেমন : ফায়ারবাগ।
The general year of Gregorian calendar commences on Monday . ||| গ্রেগরিয়ান বর্ষপঞ্জীর একটি সাধারণ বছর যা সোমবার দিয়ে শুরু হয়েছে।
July . ||| জুলাই
July ||| জুলাই
July ||| জুলাই
July ||| জুলাই
Date of unknown or unsolved incident . ||| অজানা/অমীমাংসিত তারিখের ঘটনাবলী
Unknown/unsolved incident dates ||| অজানা/অমীমাংসিত তারিখের ঘটনাবলী
Incidents on unknown/undecided dates . ||| অজানা/অমীমাংসিত তারিখের ঘটনাবলী
Unknown/undecided dated events ||| অজানা/অমীমাংসিত তারিখের ঘটনাবলী
December 27- Benajir Bhutto , Pakistan 's Ex-Prime Minister ||| ডিসেম্বর ২৭ - বেনজীর ভুট্টো , পাকিস্তানের সাবেক প্রধানমন্ত্রী।
Decebber 27 – Benazir Bhutto , the former prime minister of Pakistan ||| ডিসেম্বর ২৭ - বেনজীর ভুট্টো , পাকিস্তানের সাবেক প্রধানমন্ত্রী।
December 27- Bengin Bhutto , old Prime Minister of Pakistan . ||| ডিসেম্বর ২৭ - বেনজীর ভুট্টো , পাকিস্তানের সাবেক প্রধানমন্ত্রী।
27th December - Benazir Bhutto , the traditional prime minister of Pakistan ||| ডিসেম্বর ২৭ - বেনজীর ভুট্টো , পাকিস্তানের সাবেক প্রধানমন্ত্রী।
June ||| জুন
June ||| জুন
June ||| জুন
June ||| জুন
January ||| জানুয়ারি
January ||| জানুয়ারি
January ||| জানুয়ারি
January ||| জানুয়ারি
DNS carries out keyword based redirection system . ||| ডিএনএস কিওয়ার্ড ভিত্তিক পুননির্দেশনা ব্যবস্থা পালন করে।
DNS performs keyword based redirection system . ||| ডিএনএস কিওয়ার্ড ভিত্তিক পুননির্দেশনা ব্যবস্থা পালন করে।
Depending on DNS internet can be controlled properly . ||| ডিএনএস কিওয়ার্ড ভিত্তিক পুননির্দেশনা ব্যবস্থা পালন করে।
DNS works on Keyword basis redirection . ||| ডিএনএস কিওয়ার্ড ভিত্তিক পুননির্দেশনা ব্যবস্থা পালন করে।
In the Domain name system , the job of assigning the domain names and connecting them to the IP addresses is divided between some authoritative Name Servers ||| ডোমেইন নেম সিস্টেমে বিভিন্ন ডোমেইন নেম দেয়া ও সেগুলোকে আইপি এড্রেসের সাথে একীভূত করার কাজটি কয়েকটি অথরিটিভ নেম সার্ভারকে ভাগ করে দেয়া হয়।
In the domain name system , the work of giving the different domain names and connecting them to the IP addresses are distributed among some authoritative name servers . ||| ডোমেইন নেম সিস্টেমে বিভিন্ন ডোমেইন নেম দেয়া ও সেগুলোকে আইপি এড্রেসের সাথে একীভূত করার কাজটি কয়েকটি অথরিটিভ নেম সার্ভারকে ভাগ করে দেয়া হয়।
Domain Name System distributes the task of assignment of domain names and their identification with IP addresses among a few authoritative name server . ||| ডোমেইন নেম সিস্টেমে বিভিন্ন ডোমেইন নেম দেয়া ও সেগুলোকে আইপি এড্রেসের সাথে একীভূত করার কাজটি কয়েকটি অথরিটিভ নেম সার্ভারকে ভাগ করে দেয়া হয়।
In Domain Name System , the responsibility of assigning domain names and mapping those names to IP addresses are distributed to some authoritative name servers . ||| ডোমেইন নেম সিস্টেমে বিভিন্ন ডোমেইন নেম দেয়া ও সেগুলোকে আইপি এড্রেসের সাথে একীভূত করার কাজটি কয়েকটি অথরিটিভ নেম সার্ভারকে ভাগ করে দেয়া হয়।
Even in the present time there is also a host file in every modern operating system too through which the users can connect the different names ( like , www.example.net ) with the IP addresses ( like , 208.77.188.166 ) even without the help of DNS . ||| বর্তমানেও অধিকাংশ আধুনিকতম অপারেটিং সিস্টেমেও একটি হোস্ট ফাইল থাকে যার মাধ্যমে ব্যবহারকারীগণ ডিএনএসের সাহায্য ছাড়াই বিভিন্ন নামকে ( যেমন www.example.net ) আইপি এড্রেসের ( যেমন 208.77.188.166 ) সাথে সংযোগ করতে পারেন।
At present also most of the operating system has a host file with the help of which the user without the help of the DNS can connect various names ( like www.example.com ) with the ip address ( 208.77.188.166 ) . ||| বর্তমানেও অধিকাংশ আধুনিকতম অপারেটিং সিস্টেমেও একটি হোস্ট ফাইল থাকে যার মাধ্যমে ব্যবহারকারীগণ ডিএনএসের সাহায্য ছাড়াই বিভিন্ন নামকে ( যেমন www.example.net ) আইপি এড্রেসের ( যেমন 208.77.188.166 ) সাথে সংযোগ করতে পারেন।
Presently in all modern system there is a host file by using that without taking any help from DNS user can contact with different IP address ( like WWW.example.net IP address of this is 208.77.188.166 ) . ||| বর্তমানেও অধিকাংশ আধুনিকতম অপারেটিং সিস্টেমেও একটি হোস্ট ফাইল থাকে যার মাধ্যমে ব্যবহারকারীগণ ডিএনএসের সাহায্য ছাড়াই বিভিন্ন নামকে ( যেমন www.example.net ) আইপি এড্রেসের ( যেমন 208.77.188.166 ) সাথে সংযোগ করতে পারেন।
today also most of the operating system uses a host file which can connect the names ( eg . www.example.com ) to the ip address ( 208.77.188.166 ) without the help of dns . ||| বর্তমানেও অধিকাংশ আধুনিকতম অপারেটিং সিস্টেমেও একটি হোস্ট ফাইল থাকে যার মাধ্যমে ব্যবহারকারীগণ ডিএনএসের সাহায্য ছাড়াই বিভিন্ন নামকে ( যেমন www.example.net ) আইপি এড্রেসের ( যেমন 208.77.188.166 ) সাথে সংযোগ করতে পারেন।
In 1984 four student of Barkal - Doglas Tery , Mocker Painter , Devid Rigol and Sun Nion jho wrote the Version of Unix which was look after by Rafial Kajampabel . ||| ১৯৮৪ সালে বার্কলের চারজন ছাত্র - ডগলাস টেরি মার্ক পেইন্টার ডেভিড রিগ্‌ল ও সংনিয়ান ঝুও প্রথম ইউনিক্স সংস্করণ লেখেন যেটি পরবর্তীতে র‌্যালফ ক্যাম্পবেল দেখাশোনা করতেন।
In 1984 , four Berkeley students—Douglas Terry , Mark Painter , David Riggle and Songnian Zhou—wrote the first UNIX implementation which was later supervised by Ralph Campbel . ||| ১৯৮৪ সালে বার্কলের চারজন ছাত্র - ডগলাস টেরি মার্ক পেইন্টার ডেভিড রিগ্‌ল ও সংনিয়ান ঝুও প্রথম ইউনিক্স সংস্করণ লেখেন যেটি পরবর্তীতে র‌্যালফ ক্যাম্পবেল দেখাশোনা করতেন।
In 1984 , four Berkeley students - Douglas Terry , Mark Painter , David Riggle , and Songnian Zhou wrote the first version of Unix which Ralph Campbell used to maintain later on . ||| ১৯৮৪ সালে বার্কলের চারজন ছাত্র - ডগলাস টেরি মার্ক পেইন্টার ডেভিড রিগ্‌ল ও সংনিয়ান ঝুও প্রথম ইউনিক্স সংস্করণ লেখেন যেটি পরবর্তীতে র‌্যালফ ক্যাম্পবেল দেখাশোনা করতেন।
In year 1984 four student -Doglas tery , Mark Painter , David Rigal , and Songniyan Jhuo first write Unix , later Ryalf Campbell took care of it . ||| ১৯৮৪ সালে বার্কলের চারজন ছাত্র - ডগলাস টেরি মার্ক পেইন্টার ডেভিড রিগ্‌ল ও সংনিয়ান ঝুও প্রথম ইউনিক্স সংস্করণ লেখেন যেটি পরবর্তীতে র‌্যালফ ক্যাম্পবেল দেখাশোনা করতেন।
The country is located near the eastern coast of Asia in the North Pacific Ocean . ||| দেশটি এশিয়া মহাদেশের পূর্ব উপকূলের কাছে উত্তর প্রশান্ত মহাসাগরে অবস্থিত।
This country is situated on the Pacific Ocean near the east coast of the continental of Asia . ||| দেশটি এশিয়া মহাদেশের পূর্ব উপকূলের কাছে উত্তর প্রশান্ত মহাসাগরে অবস্থিত।
Located in the Pacific Ocean , the country lies near the eastern coast of Asia . ||| দেশটি এশিয়া মহাদেশের পূর্ব উপকূলের কাছে উত্তর প্রশান্ত মহাসাগরে অবস্থিত।
The country is situated at the North Pacific Ocean , near the Eastern coast of Asia . ||| দেশটি এশিয়া মহাদেশের পূর্ব উপকূলের কাছে উত্তর প্রশান্ত মহাসাগরে অবস্থিত।
East Russia is close by , which is situated on the opposite side of the Sea of Okhotsk and Sea of Japan . ||| কাছেই রয়েছে পূর্ব রাশিয়া যা ওখটস্ক সাগর ও জাপান সাগরের অপর পারে অবস্থিত।
There is East Russia nearby , which is situated on the other side of Sea of Okhotsk and Sea of Japan . ||| কাছেই রয়েছে পূর্ব রাশিয়া যা ওখটস্ক সাগর ও জাপান সাগরের অপর পারে অবস্থিত।
Eastern Russia is near , which is situated opposite of the Okhotsk sea and Japan sea . ||| কাছেই রয়েছে পূর্ব রাশিয়া যা ওখটস্ক সাগর ও জাপান সাগরের অপর পারে অবস্থিত।
In the near by there is East Russia which is at the opposite banks of the Okhotsk sea and Japan sea . ||| কাছেই রয়েছে পূর্ব রাশিয়া যা ওখটস্ক সাগর ও জাপান সাগরের অপর পারে অবস্থিত।
The population is very high in the city area between Tokyo and Kobe city . ||| টোকিও ও কোবে নগরীর মধ্যবর্তী নগর এলাকাটিতে জনঘনত্ব অত্যন্ত উচ্চ।
.The urban area between Tokyo and Kobe cities are very densely populated . ||| টোকিও ও কোবে নগরীর মধ্যবর্তী নগর এলাকাটিতে জনঘনত্ব অত্যন্ত উচ্চ।
The population in the urban area between Kobe and Tokyo is very high . ||| টোকিও ও কোবে নগরীর মধ্যবর্তী নগর এলাকাটিতে জনঘনত্ব অত্যন্ত উচ্চ।
The urban area between Tokyo and Kobe cities is very densely populated . ||| টোকিও ও কোবে নগরীর মধ্যবর্তী নগর এলাকাটিতে জনঘনত্ব অত্যন্ত উচ্চ।
Japan is ruled by an emperor aince the 7th century . ||| জাপানে ৭ম শতক থেকে একজন সম্রাট শাসন করে আসছেন।
